,名字,行业,地区,流通股本,总股本(万),总资产(万),流动资产,固定资产,每股净资,市净率,上市日期,平均利润,价格,平均市盈率
717,韶钢松山,钢加工,广东,166952.0,241952.0,1762059.75,360471.0,1327430.0,0.48,10.7,19970508,-107946.0,4.46,-10.0
780,平庄能源,煤炭开采,内蒙,101431.0,101431.0,622409.75,425639.0,71165.0,4.45,1.3,19970606,15835.0,5.56,36.0
601908,京运通,半导体,北京,57152.0,199302.0,758076.13,260000.0,333451.0,2.29,3.7,20110908,8259.0,6.78,164.0
601101,昊华能源,煤炭开采,北京,120000.0,120000.0,1764326.0,391085.0,264315.0,5.68,1.4,20100331,53771.0,7.11,16.0
600658,电子城,园区开发,北京,58010.0,58010.0,436202.66,334905.0,10207.0,5.27,2.7,19930524,47364.0,9.96,12.0
795,太原刚玉,矿物制品,山西,32640.0,44449.0,208306.3,129863.0,49644.0,2.7,5.3,19970808,-4393.0,13.04,-132.0
600165,新日恒力,钢加工,宁夏,48488.0,68488.0,253085.3,140602.0,62618.0,1.31,18.3,19980529,-1820.0,15.46,-582.0
600843,上工申贝,纺织机械,上海,30465.0,54859.0,312090.31,238682.0,26411.0,3.18,4.9,19940311,10629.0,12.72,66.0
300141,和顺电气,电气设备,江苏,10621.0,16697.0,76788.81,57671.0,9099.0,4.11,6.1,20101112,5523.0,21.29,64.0
300317,珈伟股份,半导体,深圳,16744.0,38366.0,590170.81,275239.0,169566.0,5.8,4.6,20120511,1140.0,23.93,805.0
600778,友好集团,百货,新疆,31109.0,31149.0,722759.06,277286.0,213371.0,5.24,2.4,19961203,23859.0,10.21,13.0
2119,康强电子,半导体,浙江,19420.0,20620.0,150052.5,73676.0,47839.0,3.21,6.9,20070302,935.0,21.85,482.0
2679,福建金森,林业,福建,13868.0,13868.0,159074.98,139763.0,3027.0,5.08,5.8,20120605,5011.0,21.85,60.0
600876,洛阳玻璃,玻璃,河南,25002.0,50002.0,116343.0,48084.0,31163.0,-0.17,-195.0,19951031,-2596.0,30.86,-594.0
2416,爱施德,电器连锁,深圳,97023.0,100388.0,1226119.0,1139762.0,3300.0,4.45,4.0,20100528,17461.0,13.18,76.0
603866,桃李面包,食品,辽宁,4501.0,45013.0,151965.22,52927.0,62876.0,2.98,8.8,20151222,24757.0,36.69,67.0
2066,瑞泰科技,其他建材,北京,23100.0,23100.0,360199.72,249969.0,77932.0,1.88,10.5,20060823,-4172.0,15.05,-83.0
2189,利达光电,元器件,河南,19853.0,19924.0,86470.22,57134.0,26557.0,2.61,13.4,20071203,1166.0,22.74,389.0
2518,科士达,电器仪表,深圳,28162.0,29693.0,222002.13,172060.0,41236.0,5.56,6.4,20101207,12360.0,28.89,69.0
603936,博敏电子,元器件,广东,4185.0,16735.0,150373.52,59964.0,0.0,4.56,8.0,20151209,7118.0,42.53,100.0
851,高鸿股份,软件服务,贵州,48781.0,59136.0,688627.94,531776.0,17377.0,4.4,3.0,19980609,4453.0,11.43,152.0
603025,大豪科技,电脑设备,北京,5100.0,44700.0,153516.8,122676.0,18781.0,3.18,12.8,20150422,21887.0,35.5,73.0
2502,骅威股份,文教休闲,广东,18374.0,42991.0,191742.56,79173.0,18770.0,5.01,5.1,20101117,3641.0,31.44,371.0
603996,中新科技,电脑设备,浙江,5010.0,20010.0,221191.8,189214.0,0.0,5.64,3.6,20151222,12514.0,34.31,55.0
48,康达尔,饲料,深圳,38607.0,39077.0,201169.77,129174.0,33221.0,1.73,23.2,19941101,4416.0,41.35,366.0
300447,全信股份,电气设备,江苏,2025.0,8100.0,65909.88,56850.0,5384.0,6.7,17.0,20150422,4434.0,82.15,150.0
600207,安彩高科,元器件,河南,44000.0,69000.0,294676.69,165023.0,83892.0,1.21,12.9,19990714,-20195.0,10.67,-36.0
591,桐 君 阁,医药商业,重庆,27463.0,27463.0,314875.75,216088.0,44457.0,1.44,15.8,19960208,2248.0,17.82,218.0
2180,艾派克,电脑设备,广东,14373.0,56915.0,311396.44,270446.0,27817.0,4.44,9.9,20071113,7349.0,38.72,300.0
2238,天威视讯,影视音像,深圳,46451.0,51446.0,325919.38,158099.0,84848.0,4.84,5.0,20080526,16193.0,17.05,54.0
2273,水晶光电,元器件,浙江,35699.0,43661.0,297869.34,175476.0,62039.0,6.07,6.3,20080919,13846.0,32.23,102.0
2346,柘中股份,其他建材,上海,7000.0,44158.0,203208.59,93200.0,14865.0,3.46,5.6,20100128,3644.0,20.9,253.0
2558,世纪游轮,旅游服务,重庆,3246.0,6545.0,64372.98,24017.0,39416.0,9.02,20.5,20110302,1975.0,132.0,437.0
2711,欧浦智网,仓储物流,广东,12904.0,33002.0,223701.97,161175.0,18312.0,3.84,10.3,20140127,12097.0,28.82,79.0
2751,易尚展示,家居用品,深圳,3512.0,14048.0,153126.31,139863.0,3770.0,3.07,39.6,20150424,5002.0,107.36,302.0
2777,久远银海,软件服务,四川,0.0,0.0,65621.67,54302.0,4478.0,0.0,0.0,0,5162.0,68.97,0.0
300093,金刚玻璃,玻璃,广东,21526.0,21600.0,144800.97,88149.0,48483.0,4.07,9.0,20100708,1943.0,28.27,314.0
300209,天泽信息,软件服务,江苏,20332.0,24493.0,100899.22,67217.0,10148.0,3.72,6.3,20110426,735.0,22.22,740.0
300449,汉邦高科,电脑设备,北京,1770.0,7070.0,73299.5,71351.0,869.0,8.59,13.8,20150422,5234.0,93.83,127.0
300466,赛摩电气,电器仪表,江苏,2000.0,8000.0,59572.7,49482.0,4532.0,5.66,12.2,20150528,3909.0,72.16,148.0
300479,神思电子,软件服务,山东,2000.0,8000.0,47907.6,39793.0,6758.0,4.85,25.5,20150612,3926.0,82.39,168.0
603009,北特科技,汽车配件,上海,3473.0,11004.0,106364.07,59367.0,28463.0,4.23,9.3,20140718,4418.0,33.56,84.0
2768,国恩股份,塑料,山东,2000.0,8000.0,100281.63,70553.0,12388.0,8.63,7.7,20150630,5340.0,68.33,102.0
2722,金轮股份,纺织机械,江苏,4574.0,13410.0,79307.07,53178.0,21305.0,4.42,8.8,20140128,4463.0,27.29,82.0
2785,万里石,其他建材,福建,5000.0,20000.0,100515.21,75870.0,8576.0,3.55,1.1,20151223,3060.0,24.43,160.0
2687,乔治白,服饰,浙江,33915.0,35485.0,128990.76,54973.0,58668.0,2.73,6.3,20120713,8088.0,17.39,76.0
2781,奇信股份,装修装饰,深圳,4500.0,22500.0,279427.19,0.0,0.0,5.45,4.7,20151222,13219.0,38.19,65.0
600610,中毅达,建筑施工,上海,29073.0,107127.0,128514.35,114967.0,281.0,1.1,12.1,19920805,825.0,15.74,2045.0
2778,高科石化,石油加工,江苏,0.0,0.0,56556.35,41800.0,8610.0,0.0,0.0,0,3729.0,38.42,0.0
300376,易事特,电气设备,广东,6269.0,25046.0,349295.06,289273.0,26026.0,4.95,9.9,20140127,15125.0,51.08,85.0
600074,保千里,电脑设备,江苏,89598.0,226595.0,201722.88,172904.0,19485.0,0.61,26.6,19970623,-8719.0,11.56,-300.0
2624,完美环球,影视音像,浙江,27360.0,48771.0,226326.55,178078.0,750.0,1.46,14.4,20111028,7884.0,27.98,173.0
601011,宝泰隆,焦炭加工,黑龙江,96750.0,136750.0,787778.06,181864.0,159872.0,3.11,2.8,20110309,5156.0,6.39,169.0
615,湖北金环,化纤,湖北,21167.0,39013.0,695370.81,545845.0,47666.0,4.13,3.8,19961016,-552.0,16.53,-1168.0
600235,民丰特纸,造纸,浙江,35130.0,35130.0,257782.59,116986.0,92417.0,3.93,3.6,20000615,1249.0,10.36,291.0
600734,实达集团,电脑设备,福建,35111.0,35156.0,172809.55,157907.0,6189.0,0.24,87.4,19960808,-2392.0,17.75,-261.0
600806,昆明机床,机床制造,云南,39019.0,53108.0,298422.41,191203.0,50940.0,1.96,7.8,19940103,-8996.0,13.45,-79.0
547,航天发展,通信设备,福建,83484.0,142963.0,673299.38,384981.0,23031.0,3.59,5.4,19931130,15523.0,15.11,139.0
2758,华通医药,医药商业,浙江,1400.0,5600.0,88258.38,67312.0,9263.0,9.19,11.3,20150527,4456.0,84.44,106.0
603399,新华龙,小金属,辽宁,35470.0,49925.0,320191.34,145787.0,48836.0,4.14,3.2,20120824,6677.0,10.16,76.0
2780,三夫户外,其他商业,北京,1700.0,6700.0,23326.02,21378.0,0.0,4.17,10.2,20151209,2941.0,88.49,202.0
300307,慈星股份,纺织机械,浙江,80200.0,80200.0,410099.28,302988.0,21871.0,4.82,3.4,20120329,10333.0,11.71,91.0
600693,东百集团,百货,福建,34242.0,44911.0,520283.59,446147.0,30424.0,4.02,3.4,19931122,8029.0,16.57,93.0
2783,凯龙股份,化工原料,湖北,2087.0,8347.0,121869.77,0.0,0.0,11.44,11.3,20151209,11137.0,85.66,64.0
2632,道明光学,化工原料,浙江,26079.0,29586.0,151359.25,79325.0,46164.0,4.67,5.8,20111122,2832.0,20.08,210.0
600995,文山电力,水力发电,云南,47853.0,47853.0,289119.41,35126.0,190189.0,3.1,3.0,20040615,12506.0,9.05,35.0
600652,游久游戏,互联网,上海,61667.0,83270.0,432205.59,88955.0,63323.0,2.43,9.4,19901219,2159.0,18.5,714.0
300168,万达信息,软件服务,上海,97851.0,100163.0,487729.0,271631.0,19301.0,1.75,19.1,20110125,14936.0,26.07,175.0
300100,双林股份,汽车服务,浙江,26870.0,39578.0,381426.91,171496.0,85107.0,5.15,5.3,20100806,11516.0,31.22,107.0
2247,帝龙新材,装修装饰,浙江,22079.0,26448.0,133274.75,87148.0,32036.0,3.95,5.2,20080612,7926.0,27.88,93.0
600531,豫光金铅,铅锌,河南,29525.0,29525.0,799505.69,532373.0,213616.0,4.44,3.6,20020730,-14223.0,12.35,-26.0
603800,道森股份,专用机械,江苏,5200.0,20800.0,86552.68,0.0,0.0,3.08,14.6,20151210,8099.0,33.7,87.0
300435,中泰股份,机械基件,浙江,2000.0,8160.0,95327.71,81872.0,9330.0,7.85,10.7,20150326,6631.0,67.27,83.0
300097,智云股份,电器仪表,辽宁,7992.0,14784.0,73316.42,56835.0,9310.0,3.64,12.3,20100728,1789.0,35.71,295.0
300482,万孚生物,生物制药,广东,2200.0,8800.0,77113.5,53603.0,14789.0,7.81,17.1,20150630,6509.0,96.29,130.0
603005,晶方科技,半导体,江苏,9964.0,22670.0,191135.5,73895.0,93233.0,7.18,7.1,20140210,16265.0,37.82,53.0
600615,丰华股份,小金属,上海,18762.0,18802.0,63783.16,57463.0,5645.0,2.65,8.8,19920910,1127.0,17.2,287.0
785,武汉中商,百货,湖北,25109.0,25122.0,271167.25,89603.0,79520.0,3.3,5.1,19970711,4204.0,16.17,97.0
600765,中航重机,机械基件,贵州,77800.0,77800.0,1321826.88,840776.0,275231.0,4.69,4.2,19961106,17441.0,17.0,76.0
2552,宝鼎重工,机械基件,浙江,16838.0,30000.0,126628.7,35606.0,40421.0,2.71,6.2,20110225,2384.0,13.83,174.0
2407,多氟多,化工原料,河南,18695.0,25124.0,331834.66,127793.0,124386.0,6.35,13.0,20100518,2088.0,73.39,883.0
300282,汇冠股份,电脑设备,北京,17178.0,22938.0,219777.91,109196.0,32541.0,5.6,6.0,20111229,488.0,26.13,1229.0
723,美锦能源,焦炭加工,山西,19486.0,195920.0,78585.18,61865.0,14056.0,1.51,8.6,19970515,538.0,11.02,4016.0
300394,天孚通信,通信设备,江苏,1524.0,7434.0,66500.7,52055.0,7862.0,8.67,15.2,20150217,6728.0,91.88,102.0
600626,申达股份,纺织,上海,71024.0,71024.0,414571.0,253061.0,78266.0,3.2,5.0,19930107,16828.0,12.4,52.0
2175,东方网络,电器仪表,广西,19996.0,23057.0,167595.97,61950.0,16892.0,3.56,18.7,20071012,1378.0,45.43,760.0
600093,禾嘉股份,汽车配件,四川,32245.0,112245.0,873431.19,832013.0,31014.0,4.8,3.6,19970626,3569.0,13.22,416.0
600528,中铁二局,建筑施工,四川,145920.0,145920.0,5856413.5,5377740.0,164444.0,4.22,3.4,20010528,42852.0,14.97,51.0
300315,掌趣科技,互联网,北京,161072.0,265838.0,485064.84,72601.0,10842.0,1.73,8.2,20120511,18884.0,12.12,171.0
2593,日上集团,汽车配件,福建,13085.0,23310.0,301295.66,207007.0,63677.0,7.49,4.2,20110628,4046.0,29.07,167.0
2384,东山精密,通信设备,江苏,47230.0,84739.0,643629.94,393924.0,159878.0,3.2,7.0,20100409,-1339.0,19.0,-1203.0
2028,思源电气,电气设备,上海,47458.0,62498.0,577325.31,477449.0,60134.0,6.05,2.8,20040805,35045.0,14.97,27.0
2713,东易日盛,装修装饰,北京,6241.0,24968.0,192767.88,136492.0,11344.0,3.32,8.8,20140219,9838.0,29.93,76.0
600543,莫高股份,红黄药酒,甘肃,32112.0,32112.0,127922.55,68694.0,29825.0,3.4,4.1,20040324,-512.0,9.84,-617.0
2565,上海绿新,造纸,上海,68734.0,69668.0,334118.19,150081.0,65079.0,2.48,5.1,20110318,11436.0,8.1,49.0
761,本钢板材,钢加工,辽宁,273594.0,313600.0,4573581.5,2057912.0,1664471.0,4.91,1.2,19980115,19259.0,5.98,97.0
2190,成飞集成,汽车配件,四川,34519.0,34519.0,376888.28,199406.0,106588.0,4.78,9.8,20071203,4700.0,33.11,243.0
983,西山煤电,煤炭开采,山西,315117.0,315120.0,5103283.5,1519917.0,2060994.0,5.27,1.2,20000726,104656.0,6.82,21.0
2034,美 欣 达,纺织,浙江,6082.0,8392.0,76856.84,36376.0,21956.0,5.38,8.0,20040826,1414.0,33.85,201.0
600397,安源煤业,煤炭开采,江西,98996.0,98996.0,982030.38,450846.0,321806.0,3.56,1.7,20020702,22807.0,5.29,23.0
300464,星徽精密,机械基件,广东,2067.0,8422.0,66139.63,37379.0,21874.0,5.42,10.2,20150610,4183.0,47.0,95.0
300079,数码视讯,通信设备,北京,120642.0,137779.0,381923.22,251993.0,38373.0,2.2,5.6,20100430,19530.0,8.94,63.0
600880,博瑞传播,广告包装,四川,73208.0,109333.0,473722.0,150046.0,49901.0,3.31,2.3,19951115,30159.0,9.74,35.0
2636,金安国纪,元器件,上海,24639.0,72800.0,254193.59,174314.0,72769.0,1.9,13.7,20111125,3958.0,15.11,278.0
2681,奋达科技,家用电器,深圳,20927.0,61762.0,304628.06,153723.0,26314.0,3.86,10.5,20120605,11727.0,33.33,176.0
601886,江河创建,装修装饰,北京,94129.0,115405.0,2074736.75,1798136.0,105977.0,4.75,2.8,20110818,34874.0,9.34,31.0
600651,飞乐音响,电器仪表,上海,73907.0,98522.0,702890.69,384193.0,82274.0,3.1,5.0,19901219,7570.0,13.08,170.0
2036,汉麻产业,服饰,浙江,25587.0,59542.0,125948.32,76555.0,22464.0,2.76,10.9,20040903,1471.0,22.97,930.0
2077,大港股份,区域地产,江苏,25200.0,41000.0,552107.63,399793.0,35872.0,4.24,3.6,20061116,5283.0,17.37,135.0
600117,西宁特钢,特种钢,青海,74122.0,74122.0,2559199.75,713136.0,908236.0,2.95,2.3,19971015,61.0,5.63,6804.0
151,中成股份,商贸代理,北京,26654.0,29598.0,270060.53,249044.0,3397.0,3.24,7.6,20000906,8341.0,18.07,64.0
300406,九强生物,化学制药,北京,10266.0,24984.0,118653.21,109985.0,6580.0,4.49,10.9,20141030,17610.0,38.8,55.0
300310,宜通世纪,通信设备,广东,13343.0,22880.0,98177.68,78300.0,8221.0,3.12,18.2,20120425,5214.0,56.48,248.0
600225,天津松江,区域地产,天津,62150.0,93549.0,1473361.13,1383163.0,15498.0,2.23,4.1,20000127,-6342.0,7.63,-113.0
2503,搜于特,服饰,广东,62974.0,103680.0,364799.56,236275.0,40724.0,2.18,7.4,20101117,22340.0,14.79,69.0
955,欣龙控股,纺织,海南,53840.0,53840.0,99569.65,34307.0,43164.0,1.21,8.9,19991209,-1485.0,6.83,-248.0
300473,德尔股份,汽车配件,辽宁,2500.0,10000.0,188781.81,162375.0,18562.0,14.86,6.7,20150612,12972.0,71.4,55.0
601116,三江购物,超市连锁,浙江,40189.0,41076.0,290577.28,170472.0,100680.0,3.84,3.5,20110302,14534.0,9.46,27.0
600624,复旦复华,综合类,上海,44870.0,52670.0,167048.27,73137.0,14530.0,1.98,8.7,19930105,3410.0,12.9,199.0
603696,安记食品,食品,福建,3000.0,12000.0,40880.19,20541.0,0.0,4.32,10.6,20151209,5738.0,36.12,76.0
600645,中源协和,生物制药,天津,32486.0,38626.0,256729.09,104736.0,24808.0,3.62,19.0,19930504,1886.0,40.98,839.0
710,天兴仪表,汽车配件,四川,15120.0,15120.0,44012.43,21532.0,6788.0,0.81,45.6,19970422,37.0,25.59,10457.0
790,华神集团,中成药,四川,42840.0,43102.0,86510.86,49672.0,29530.0,1.3,12.3,19980327,4994.0,10.4,90.0
2418,康盛股份,机械基件,浙江,18454.0,37880.0,302242.72,172554.0,102891.0,5.0,7.5,20100601,1356.0,28.5,796.0
600279,重庆港九,港口,重庆,46197.0,46197.0,752650.19,188183.0,344501.0,7.16,2.2,20000731,7962.0,10.83,63.0
603669,灵康药业,化学制药,西藏,6500.0,26000.0,128977.88,90373.0,27327.0,4.11,8.8,20150528,11994.0,30.19,65.0
2779,中坚科技,农用机械,浙江,2200.0,8800.0,48416.2,33823.0,8297.0,5.51,9.9,20151209,5024.0,52.06,91.0
300342,天银机电,元器件,江苏,18899.0,20000.0,97980.36,55348.0,13859.0,4.14,8.3,20120726,9068.0,38.15,84.0
600838,上海九百,百货,上海,40088.0,40088.0,118974.26,15702.0,12883.0,2.52,6.0,19940224,3905.0,11.17,115.0
300108,双龙股份,化工原料,吉林,21947.0,42401.0,234548.05,104304.0,37244.0,3.83,4.3,20100825,3799.0,12.65,141.0
600228,昌九生化,化工原料,江西,24132.0,24132.0,57995.55,22408.0,27897.0,0.28,58.1,19990119,-10144.0,12.07,-29.0
603729,龙韵股份,广告包装,上海,1667.0,6667.0,121477.7,105358.0,15470.0,14.64,8.2,20150324,8248.0,79.91,65.0
600185,格力地产,区域地产,广东,57767.0,57767.0,2093507.75,1988613.0,20438.0,6.0,3.7,19990611,32910.0,16.91,30.0
300448,浩云科技,软件服务,广东,2000.0,8069.0,58165.76,51919.0,5492.0,6.57,17.2,20150424,4987.0,79.39,128.0
2138,顺络电子,元器件,深圳,72679.0,74094.0,311964.03,99940.0,142572.0,3.15,4.6,20070613,16200.0,11.17,51.0
300256,星星科技,元器件,浙江,12602.0,32474.0,600973.44,285072.0,94323.0,9.59,2.8,20110819,-3822.0,20.73,-176.0
300488,恒锋工具,机械基件,浙江,1251.0,6251.0,60427.5,36453.0,18667.0,9.28,10.6,20150701,6494.0,75.64,73.0
2333,罗普斯金,铝,江苏,24248.0,25130.0,164385.97,54874.0,62177.0,5.39,4.2,20100112,7493.0,19.33,65.0
600576,万家文化,影视音像,浙江,47980.0,63497.0,207783.47,78246.0,7556.0,1.04,27.7,20030220,-2351.0,20.08,-542.0
603508,思维列控,软件服务,河南,4000.0,16000.0,109436.05,0.0,0.0,7.57,7.0,20151224,17444.0,89.48,82.0
300320,海达股份,橡胶,江苏,23586.0,29335.0,108692.22,72170.0,32809.0,2.57,6.0,20120601,6937.0,12.34,52.0
603268,松发股份,陶瓷,广东,2200.0,8800.0,63614.65,47207.0,9698.0,6.02,10.6,20150319,4593.0,44.95,86.0
2769,普路通,仓储物流,深圳,3700.0,14800.0,2404252.25,2391820.0,335.0,6.52,12.9,20150629,6844.0,61.98,134.0
504,南华生物,出版业,湖南,30997.0,31157.0,11081.8,4347.0,4879.0,-0.02,-1459.4,19921208,-366.0,22.69,-1930.0
300481,濮阳惠成,化工原料,河南,2000.0,8000.0,44679.51,23911.0,11806.0,5.21,11.6,20150630,4182.0,45.06,86.0
300269,联建光电,半导体,深圳,20288.0,50554.0,315955.91,110049.0,21171.0,5.09,6.0,20111012,5905.0,23.65,202.0
2560,通达股份,电气设备,河南,8833.0,14273.0,223600.88,122600.0,21439.0,10.06,4.9,20110303,5424.0,36.8,97.0
2137,麦达数字,元器件,深圳,25533.0,46127.0,62254.67,28425.0,11292.0,1.09,19.7,20070613,-4704.0,17.3,-170.0
932,华菱钢铁,普钢,湖南,301491.0,301565.0,7705384.0,2773334.0,4311920.0,3.03,1.0,19990803,-102469.0,3.51,-10.0
2371,七星电子,半导体,北京,33744.0,35220.0,419044.91,165510.0,59583.0,5.31,3.6,20100316,9537.0,25.87,96.0
300030,阳普医疗,医疗保健,广东,24160.0,30880.0,133053.84,51586.0,22058.0,2.94,6.7,20091225,4555.0,15.06,102.0
300232,洲明科技,半导体,深圳,13990.0,22949.0,155814.05,98724.0,28136.0,3.65,11.5,20110622,3884.0,33.49,198.0
2596,海南瑞泽,其他建材,海南,15849.0,32446.0,211829.41,115670.0,44464.0,5.15,8.0,20110707,4006.0,30.0,243.0
600673,东阳光科,铝,广东,245625.0,246887.0,1215525.38,512088.0,339007.0,1.46,7.2,19930917,15218.0,7.28,118.0
930,中粮生化,食品,安徽,96441.0,96441.0,691198.0,240904.0,387541.0,2.43,6.3,19990712,8965.0,12.74,137.0
600272,开开实业,服饰,上海,16000.0,24300.0,93536.15,38336.0,19711.0,1.8,10.6,20010228,4088.0,13.12,78.0
603678,火炬电子,元器件,福建,4160.0,16640.0,158609.67,120421.0,13672.0,6.57,13.4,20150126,12374.0,59.61,80.0
2615,哈尔斯,家居用品,浙江,10285.0,18240.0,83257.65,35519.0,26728.0,3.44,6.5,20110909,5652.0,25.88,84.0
300087,荃银高科,种植业,安徽,25292.0,31680.0,109475.36,76681.0,20177.0,1.78,6.7,20100526,1182.0,9.38,251.0
600768,宁波富邦,铝,浙江,13375.0,13375.0,66093.78,36126.0,22018.0,0.52,49.3,19961111,-1011.0,18.77,-248.0
600260,凯乐科技,白酒,湖北,52764.0,66675.0,674998.31,466202.0,101172.0,4.24,3.6,20000706,10522.0,10.38,66.0
418,小天鹅Ａ,家用电器,江苏,43775.0,63249.0,1258503.25,1103551.0,100614.0,7.66,3.1,19970328,48331.0,21.9,29.0
300148,天舟文化,出版业,湖南,33752.0,42235.0,195098.67,73304.0,4125.0,4.43,3.6,20101215,5253.0,24.95,201.0
603333,明星电缆,电气设备,四川,52000.0,52000.0,174400.73,93714.0,60915.0,2.87,3.4,20120507,678.0,7.98,612.0
600193,创兴资源,普钢,上海,42537.0,42537.0,55394.26,8259.0,9785.0,0.81,18.5,19990527,-6772.0,10.66,-67.0
600515,海岛建设,百货,海南,42277.0,42277.0,350315.78,95232.0,137724.0,2.03,9.1,20020806,6959.0,11.84,72.0
2203,海亮股份,铜,浙江,146771.0,167140.0,916741.38,562257.0,91048.0,2.17,5.2,20080116,32464.0,7.65,39.0
2625,龙生股份,汽车配件,浙江,18800.0,30075.0,63985.32,18785.0,12456.0,1.69,31.8,20111103,3494.0,37.45,322.0
300126,锐奇股份,轻工机械,上海,21090.0,30731.0,121724.71,80104.0,20048.0,3.34,5.5,20101013,5767.0,13.64,73.0
2128,露天煤业,煤炭开采,内蒙,158822.0,163438.0,1378283.88,376894.0,765867.0,5.29,1.7,20070418,103706.0,7.5,12.0
600097,开创国际,渔业,上海,20260.0,20260.0,130529.52,62320.0,67471.0,4.5,4.4,19970619,11268.0,14.43,26.0
2145,中核钛白,化工原料,甘肃,22806.0,53565.0,484977.91,224604.0,151791.0,4.71,3.6,20070803,1626.0,14.25,470.0
2229,鸿博股份,广告包装,福建,20564.0,29819.0,151142.86,63210.0,49665.0,2.85,10.5,20080508,4296.0,19.28,134.0
300146,汤臣倍健,食品,广东,33743.0,72801.0,481181.16,330839.0,48671.0,6.2,5.9,20101215,40154.0,33.27,60.0
663,永安林业,林业,福建,17032.0,34102.0,380507.31,197497.0,46006.0,5.05,3.6,19961206,42.0,12.8,10393.0
2353,杰瑞股份,化工机械,山东,66440.0,95785.0,1135044.13,867088.0,150631.0,8.12,3.2,20100205,94288.0,17.27,18.0
2359,齐星铁塔,钢加工,山东,33594.0,41680.0,136678.31,78758.0,46459.0,2.24,13.0,20100210,-1777.0,28.65,-672.0
2331,皖通科技,软件服务,安徽,22802.0,29194.0,168443.22,134976.0,12096.0,4.14,6.5,20100106,6452.0,18.23,82.0
2456,欧菲光,元器件,深圳,81996.0,103061.0,1548232.63,1044603.0,377426.0,5.89,5.3,20100803,52465.0,24.35,48.0
2676,顺威股份,塑料,广东,15862.0,16000.0,165706.16,100100.0,41886.0,6.64,7.0,20120525,5248.0,35.8,109.0
300443,金雷风电,专用机械,山东,1407.0,5626.0,107502.77,77934.0,14694.0,15.26,14.3,20150422,6300.0,173.9,155.0
300066,三川股份,电器仪表,江西,37296.0,41601.0,157474.13,102456.0,27243.0,3.2,7.3,20100326,10158.0,19.27,79.0
600257,大湖股份,渔业,湖南,42705.0,42705.0,149737.63,80615.0,19047.0,1.75,9.1,20000612,5718.0,10.49,78.0
2623,亚玛顿,玻璃,江苏,16000.0,16000.0,272145.88,131398.0,58226.0,13.54,3.6,20111013,5759.0,36.93,103.0
300452,山河药辅,化学制药,安徽,1160.0,4640.0,43238.26,27919.0,12192.0,7.54,15.8,20150515,3404.0,84.18,115.0
600548,深高速,路桥,深圳,143327.0,218077.0,2367527.75,448874.0,98267.0,5.35,1.9,20011225,119703.0,8.09,15.0
300202,聚龙股份,专用机械,辽宁,42022.0,54950.0,166376.52,127900.0,26775.0,2.59,13.7,20110415,26176.0,24.98,52.0
300390,天华超净,电脑设备,江苏,4713.0,13782.0,44969.48,24587.0,16563.0,2.99,16.2,20140731,3830.0,34.91,126.0
300246,宝莱特,医疗保健,广东,10589.0,14609.0,57415.05,38988.0,8729.0,2.95,13.3,20110719,3308.0,30.05,133.0
32,深桑达Ａ,元器件,深圳,23286.0,23286.0,130691.65,79461.0,5726.0,3.76,6.9,19931028,6997.0,18.06,60.0
2117,东港股份,广告包装,山东,36367.0,36381.0,175599.34,92609.0,61093.0,3.69,12.6,20070302,13396.0,35.8,97.0
2348,高乐股份,文教休闲,广东,37058.0,47360.0,123380.4,66788.0,10189.0,2.55,7.3,20100203,5846.0,11.77,95.0
300301,长方照明,半导体,深圳,23744.0,69036.0,297730.81,97852.0,102338.0,1.98,4.8,20120321,4191.0,8.7,143.0
600370,三房巷,纺织,江苏,31890.0,31890.0,155686.22,112605.0,38686.0,3.79,4.5,20030306,2306.0,11.2,155.0
600861,北京城乡,百货,北京,31680.0,31680.0,460604.66,233379.0,187799.0,7.21,2.7,19940520,9480.0,13.7,46.0
987,广州友谊,百货,广东,35871.0,35896.0,317261.63,237566.0,13998.0,5.98,4.6,20000718,31773.0,19.54,22.0
758,中色股份,铅锌,北京,90156.0,98469.0,2062612.0,1310477.0,267382.0,4.75,3.3,19970416,18336.0,13.31,71.0
668,荣丰控股,区域地产,上海,14669.0,14684.0,150489.56,143356.0,474.0,4.2,6.9,19961210,-1418.0,21.01,-218.0
300321,同大股份,塑料,山东,4440.0,4440.0,69906.32,30028.0,30058.0,12.48,8.6,20120523,2985.0,63.01,94.0
300191,潜能恒信,石油开采,北京,20702.0,32000.0,125648.42,94383.0,16278.0,3.74,13.2,20110316,6687.0,32.1,154.0
600616,金枫酒业,红黄药酒,上海,48804.0,51462.0,235129.8,159065.0,40150.0,3.76,3.5,19920929,9716.0,11.96,63.0
300223,北京君正,半导体,北京,9735.0,16640.0,111585.36,90805.0,7094.0,6.59,5.7,20110531,2114.0,25.81,203.0
300486,东杰智能,专用机械,山西,3472.0,13886.0,100228.46,76526.0,16842.0,4.86,11.1,20150630,5239.0,35.69,95.0
600807,天业股份,区域地产,山东,49217.0,85663.0,489749.84,428624.0,5952.0,1.84,9.9,19940103,3523.0,13.86,337.0
2306,*ST云网,酒店餐饮,北京,61252.0,80000.0,84205.97,37834.0,31979.0,-0.3,-31.0,20091111,-37983.0,6.51,-14.0
2192,*ST融捷,化工原料,广东,11442.0,17310.0,84727.81,26193.0,12850.0,4.11,10.6,20071205,-4410.0,44.11,-173.0
